workload	sample	makespan	synchronization	distribution	jvm
workload1	1	10	async	distributed	combee
workload1	2	11	async	distributed	combee
workload1	3	11	async	distributed	combee
workload1	4	11	async	distributed	combee
workload1	5	12	async	distributed	combee
workload1	6	11	async	distributed	combee
workload1	7	12	async	distributed	combee
workload1	8	11	async	distributed	combee
workload1	9	11	async	distributed	combee
workload1	10	11	async	distributed	combee
workload1	1	16	async	distributed	honeybee
workload1	2	14	async	distributed	honeybee
workload1	3	13	async	distributed	honeybee
workload1	4	15	async	distributed	honeybee
workload1	5	13	async	distributed	honeybee
workload1	6	14	async	distributed	honeybee
workload1	7	14	async	distributed	honeybee
workload1	8	14	async	distributed	honeybee
workload1	9	16	async	distributed	honeybee
workload1	10	14	async	distributed	honeybee
workload1	1	12	sync	distributed	combee
workload1	2	11	sync	distributed	combee
workload1	3	10	sync	distributed	combee
workload1	4	11	sync	distributed	combee
workload1	5	11	sync	distributed	combee
workload1	6	11	sync	distributed	combee
workload1	7	11	sync	distributed	combee
workload1	8	15	sync	distributed	combee
workload1	9	12	sync	distributed	combee
workload1	10	11	sync	distributed	combee
workload1	1	13	sync	distributed	honeybee
workload1	2	13	sync	distributed	honeybee
workload1	3	13	sync	distributed	honeybee
workload1	4	14	sync	distributed	honeybee
workload1	5	13	sync	distributed	honeybee
workload1	6	12	sync	distributed	honeybee
workload1	7	13	sync	distributed	honeybee
workload1	8	14	sync	distributed	honeybee
workload1	9	14	sync	distributed	honeybee
workload1	10	13	sync	distributed	honeybee
workload2	1	285	async	distributed	combee
workload2	2	285	async	distributed	combee
workload2	3	283	async	distributed	combee
workload2	4	272	async	distributed	combee
workload2	5	276	async	distributed	combee
workload2	6	286	async	distributed	combee
workload2	7	274	async	distributed	combee
workload2	8	321	async	distributed	combee
workload2	9	274	async	distributed	combee
workload2	10	272	async	distributed	combee
workload2	1	351	async	distributed	honeybee
workload2	2	279	async	distributed	honeybee
workload2	3	276	async	distributed	honeybee
workload2	4	337	async	distributed	honeybee
workload2	5	284	async	distributed	honeybee
workload2	6	343	async	distributed	honeybee
workload2	7	336	async	distributed	honeybee
workload2	8	275	async	distributed	honeybee
workload2	9	275	async	distributed	honeybee
workload2	10	274	async	distributed	honeybee
workload2	1	255	sync	distributed	combee
workload2	2	248	sync	distributed	combee
workload2	3	251	sync	distributed	combee
workload2	4	1638	sync	distributed	combee
workload2	5	251	sync	distributed	combee
workload2	6	254	sync	distributed	combee
workload2	7	8721	sync	distributed	combee
workload2	8	250	sync	distributed	combee
workload2	9	268	sync	distributed	combee
workload2	10	247	sync	distributed	combee
workload2	1	290	sync	distributed	honeybee
workload2	2	83	sync	distributed	honeybee
workload2	3	290	sync	distributed	honeybee
workload2	4	287	sync	distributed	honeybee
workload2	5	317	sync	distributed	honeybee
workload2	6	345	sync	distributed	honeybee
workload2	7	357	sync	distributed	honeybee
workload2	8	301	sync	distributed	honeybee
workload2	9	291	sync	distributed	honeybee
workload2	10	292	sync	distributed	honeybee
workload3	1	231	async	distributed	combee
workload3	2	197	async	distributed	combee
workload3	3	178	async	distributed	combee
workload3	4	211	async	distributed	combee
workload3	5	213	async	distributed	combee
workload3	6	197	async	distributed	combee
workload3	7	211	async	distributed	combee
workload3	8	214	async	distributed	combee
workload3	9	216	async	distributed	combee
workload3	10	178	async	distributed	combee
workload3	1	309	async	distributed	honeybee
workload3	2	305	async	distributed	honeybee
workload3	3	305	async	distributed	honeybee
workload3	4	278	async	distributed	honeybee
workload3	5	340	async	distributed	honeybee
workload3	6	339	async	distributed	honeybee
workload3	7	302	async	distributed	honeybee
workload3	8	285	async	distributed	honeybee
workload3	9	309	async	distributed	honeybee
workload3	10	289	async	distributed	honeybee
workload3	1	198	sync	distributed	combee
workload3	2	214	sync	distributed	combee
workload3	3	208	sync	distributed	combee
workload3	4	185	sync	distributed	combee
workload3	5	198	sync	distributed	combee
workload3	6	200	sync	distributed	combee
workload3	7	197	sync	distributed	combee
workload3	8	188	sync	distributed	combee
workload3	9	187	sync	distributed	combee
workload3	10	184	sync	distributed	combee
workload3	1	290	sync	distributed	honeybee
workload3	2	289	sync	distributed	honeybee
workload3	3	278	sync	distributed	honeybee
workload3	4	283	sync	distributed	honeybee
workload3	5	275	sync	distributed	honeybee
workload3	6	282	sync	distributed	honeybee
workload3	7	283	sync	distributed	honeybee
workload3	8	285	sync	distributed	honeybee
workload3	9	280	sync	distributed	honeybee
