workload	sample	makespan	synchronization	distribution	jvm
workload1	1	77	sync	distributed	combee
workload1	2	79	sync	distributed	combee
workload1	3	80	sync	distributed	combee
workload1	4	79	sync	distributed	combee
workload1	5	80	sync	distributed	combee
workload1	6	79	sync	distributed	combee
workload1	7	79	sync	distributed	combee
workload1	8	79	sync	distributed	combee
workload1	9	78	sync	distributed	combee
workload1	10	79	sync	distributed	combee
workload1	1	85	sync	distributed	honeybee
workload1	2	85	sync	distributed	honeybee
workload1	3	85	sync	distributed	honeybee
workload1	4	85	sync	distributed	honeybee
workload1	5	84	sync	distributed	honeybee
workload1	6	84	sync	distributed	honeybee
workload1	7	86	sync	distributed	honeybee
workload1	8	85	sync	distributed	honeybee
workload1	9	84	sync	distributed	honeybee
workload1	10	86	sync	distributed	honeybee
workload2	1	2857	sync	distributed	combee
workload2	2	3062	sync	distributed	combee
workload2	3	2726	sync	distributed	combee
workload2	4	2739	sync	distributed	combee
workload2	5	2944	sync	distributed	combee
workload2	6	3024	sync	distributed	combee
workload2	7	3056	sync	distributed	combee
workload2	8	2931	sync	distributed	combee
workload2	9	2959	sync	distributed	combee
workload2	10	3004	sync	distributed	combee
workload2	1	3150	sync	distributed	honeybee
workload2	2	3115	sync	distributed	honeybee
workload2	3	3043	sync	distributed	honeybee
workload2	4	2940	sync	distributed	honeybee
workload2	5	3107	sync	distributed	honeybee
workload2	6	3660	sync	distributed	honeybee
workload2	7	3153	sync	distributed	honeybee
workload2	8	3037	sync	distributed	honeybee
workload2	9	3117	sync	distributed	honeybee
workload2	10	3107	sync	distributed	honeybee
workload3	1	15770	sync	distributed	combee
workload3	2	15769	sync	distributed	combee
workload3	3	16484	sync	distributed	combee
workload3	4	14720	sync	distributed	combee
workload3	5	16527	sync	distributed	combee
workload3	6	15859	sync	distributed	combee
workload3	7	14769	sync	distributed	combee
workload3	8	14809	sync	distributed	combee
workload3	9	14946	sync	distributed	combee
workload3	10	14865	sync	distributed	combee
workload3	1	15220	sync	distributed	honeybee
workload3	2	16570	sync	distributed	honeybee
workload3	3	16590	sync	distributed	honeybee
workload3	4	15242	sync	distributed	honeybee
workload3	5	16527	sync	distributed	honeybee
workload3	6	17172	sync	distributed	honeybee
workload3	7	16655	sync	distributed	honeybee
workload3	8	16023	sync	distributed	honeybee
workload3	9	15462	sync	distributed	honeybee
workload3	10	15300	sync	distributed	honeybee
workload4	1	3391	sync	distributed	combee
workload4	2	3366	sync	distributed	combee
workload4	3	3317	sync	distributed	combee
workload4	4	3410	sync	distributed	combee
workload4	5	3400	sync	distributed	combee
workload4	6	3355	sync	distributed	combee
workload4	7	3371	sync	distributed	combee
workload4	8	3674	sync	distributed	combee
workload4	9	3383	sync	distributed	combee
workload4	10	3380	sync	distributed	combee
workload4	1	3518	sync	distributed	honeybee
workload4	2	3543	sync	distributed	honeybee
workload4	3	3552	sync	distributed	honeybee
workload4	4	3544	sync	distributed	honeybee
workload4	5	3540	sync	distributed	honeybee
workload4	6	3517	sync	distributed	honeybee
workload4	7	3543	sync	distributed	honeybee
workload4	8	3543	sync	distributed	honeybee
workload4	9	3514	sync	distributed	honeybee
workload4	10	3534	sync	distributed	honeybee
workload1	1	3	async	distributed	combee
workload1	2	2	async	distributed	combee
workload1	3	2	async	distributed	combee
workload1	4	2	async	distributed	combee
workload1	5	2	async	distributed	combee
workload1	6	2	async	distributed	combee
workload1	7	2	async	distributed	combee
workload1	8	2	async	distributed	combee
workload1	9	2	async	distributed	combee
workload1	10	2	async	distributed	combee
workload1	1	7	async	distributed	honeybee
workload1	2	7	async	distributed	honeybee
workload1	3	6	async	distributed	honeybee
workload1	4	7	async	distributed	honeybee
workload1	5	7	async	distributed	honeybee
workload1	6	6	async	distributed	honeybee
workload1	7	7	async	distributed	honeybee
